lag_fs,acf_norm_mean,acf_norm_sem
1.380000000000000000e+02,2.456557799999999764e-02,3.314895110104390877e-03
1.385000000000000000e+02,2.461297399999999927e-02,3.430377741429652128e-03
1.390000000000000000e+02,2.625414999999999693e-02,3.179697633812057951e-03
1.395000000000000000e+02,2.962639799999999823e-02,2.639016568690693600e-03
1.400000000000000000e+02,3.464697199999999810e-02,2.023378239878544701e-03
1.405000000000000000e+02,4.101598999999999523e-02,1.801732636339254626e-03
1.410000000000000000e+02,4.824583600000000028e-02,2.315755272697440654e-03
1.415000000000000000e+02,5.571389200000000097e-02,3.188233103820044961e-03
1.420000000000000000e+02,6.273228799999999716e-02,4.031442397459499005e-03
1.425000000000000000e+02,6.862612799999999458e-02,4.653298135403962504e-03
1.430000000000000000e+02,7.281060999999999783e-02,4.959185181616029142e-03
1.435000000000000000e+02,7.485746799999999646e-02,4.918613597847872401e-03
1.440000000000000000e+02,7.454294599999999882e-02,4.560745636724986701e-03
1.445000000000000000e+02,7.187172799999999584e-02,3.979087141113397952e-03
1.450000000000000000e+02,6.707474799999998960e-02,3.341706988979435081e-03
1.455000000000000000e+02,6.058164400000000394e-02,2.888355432524880931e-03
1.460000000000000000e+02,5.297181800000000385e-02,2.817702950900608742e-03
1.465000000000000000e+02,4.491005199999999892e-02,3.067005184873999174e-03
1.470000000000000000e+02,3.707418200000000413e-02,3.378957252192457596e-03
1.475000000000000000e+02,3.008297999999999875e-02,3.544328345307471220e-03
1.480000000000000000e+02,2.443201799999999979e-02,3.468970300971744962e-03
1.485000000000000000e+02,2.044464000000000350e-02,3.159928615696879980e-03
1.490000000000000000e+02,1.824328000000000061e-02,2.724392246593724566e-03
1.495000000000000000e+02,1.774443199999999748e-02,2.390805402234569190e-03
1.500000000000000000e+02,1.867764799999999809e-02,2.445313916362068865e-03
1.505000000000000000e+02,2.062618000000000090e-02,2.929786862222233043e-03
1.510000000000000000e+02,2.308424599999999924e-02,3.603891161639873920e-03
1.515000000000000000e+02,2.552365599999999873e-02,4.234663159971049917e-03
1.520000000000000000e+02,2.746155400000000607e-02,4.679205427983046221e-03
1.525000000000000000e+02,2.852088199999999740e-02,4.862540598682339212e-03
1.530000000000000000e+02,2.847640599999999925e-02,4.762434691216877423e-03
1.535000000000000000e+02,2.728093599999999869e-02,4.404664694600032848e-03
1.540000000000000000e+02,2.506914199999999912e-02,3.862076888318511508e-03
1.545000000000000000e+02,2.213892800000000216e-02,3.254134173737155411e-03
1.550000000000000000e+02,1.891302599999999945e-02,2.738671033020578273e-03
1.555000000000000000e+02,1.588564400000000085e-02,2.460999927853716775e-03
1.560000000000000000e+02,1.356052000000000125e-02,2.437203974939315676e-03
1.565000000000000000e+02,1.238752800000000008e-02,2.526852357510031132e-03
1.570000000000000000e+02,1.270518600000000199e-02,2.576001418595494710e-03
1.575000000000000000e+02,1.469577600000000241e-02,2.519639091609351782e-03
1.580000000000000000e+02,1.835846600000000037e-02,2.397924439211127166e-03
