lag_fs,running_eta_mean,running_eta_sem
2.100000000000000000e+01,1.826995359999999957e-01,6.085848094111430493e-04
2.150000000000000000e+01,1.849716279999999990e-01,5.779731124749643099e-04
2.200000000000000000e+01,1.836341439999999992e-01,5.419099548688869001e-04
2.250000000000000000e+01,1.792615579999999875e-01,5.073989759587610145e-04
2.300000000000000000e+01,1.727243559999999956e-01,4.814434340875371472e-04
2.350000000000000000e+01,1.650831020000000093e-01,4.697455671360814609e-04
2.400000000000000000e+01,1.574670440000000005e-01,4.753545154997493218e-04
2.450000000000000000e+01,1.509503339999999916e-01,4.981458809284685946e-04
2.500000000000000000e+01,1.464384899999999767e-01,5.354395759840735545e-04
2.550000000000000000e+01,1.445761160000000045e-01,5.831420747862400616e-04
2.600000000000000000e+01,1.456848259999999895e-01,6.365216010364422141e-04
2.650000000000000000e+01,1.497371980000000158e-01,6.905488454222471041e-04
2.700000000000000000e+01,1.563691700000000018e-01,7.401227138860149313e-04
2.750000000000000000e+01,1.649290240000000074e-01,7.804454632874731086e-04
2.800000000000000000e+01,1.745570720000000076e-01,8.075237844014276955e-04
2.850000000000000000e+01,1.842866380000000026e-01,8.187101000989313680e-04
2.900000000000000000e+01,1.931543579999999982e-01,8.131384074522621762e-04
2.950000000000000000e+01,2.003070340000000227e-01,7.919350341700988382e-04
3.000000000000000000e+01,2.050929679999999866e-01,7.582008357447227740e-04
3.050000000000000000e+01,2.071281700000000003e-01,7.167069117847243336e-04
3.100000000000000000e+01,2.063310920000000215e-01,6.733710985660162169e-04
3.150000000000000000e+01,2.029235640000000007e-01,6.345298571351882340e-04
3.200000000000000000e+01,1.973993380000000075e-01,6.060400064467709241e-04
3.250000000000000000e+01,1.904650079999999912e-01,5.923533791867809312e-04
3.300000000000000000e+01,1.829604420000000009e-01,5.958273406986287594e-04
3.350000000000000000e+01,1.757676280000000091e-01,6.165558251075074596e-04
3.400000000000000000e+01,1.697174399999999972e-01,6.527494242969498909e-04
3.450000000000000000e+01,1.655037479999999783e-01,7.012903357055505190e-04
3.500000000000000000e+01,1.636134619999999873e-01,7.581083117101389962e-04
3.550000000000000000e+01,1.642794880000000013e-01,8.184607293535844930e-04
3.600000000000000000e+01,1.674612340000000144e-01,8.772294538978965767e-04
3.650000000000000000e+01,1.728546139999999898e-01,9.293599169837287940e-04
3.700000000000000000e+01,1.799302359999999934e-01,9.704218756324500773e-04
3.750000000000000000e+01,1.879954260000000210e-01,9.971661812987839962e-04
3.800000000000000000e+01,1.962730079999999988e-01,1.007976711315296215e-03
3.850000000000000000e+01,2.039878279999999822e-01,1.003116896176111045e-03
3.900000000000000000e+01,2.104512119999999986e-01,9.846969080706999798e-04
3.950000000000000000e+01,2.151338720000000038e-01,9.563305825518721116e-04
4.000000000000000000e+01,2.177194060000000042e-01,9.225263700382789998e-04
4.050000000000000000e+01,2.181327459999999885e-01,8.879603605826114337e-04
4.100000000000000000e+01,2.165411780000000008e-01,8.567959600593358892e-04
4.150000000000000000e+01,2.133284419999999793e-01,8.323617202538795366e-04
4.200000000000000000e+01,2.090455239999999826e-01,8.172584037047284609e-04
4.250000000000000000e+01,2.043441100000000232e-01,8.137131627606885870e-04
4.300000000000000000e+01,1.999004479999999806e-01,8.237469802700320143e-04
4.350000000000000000e+01,1.963381439999999922e-01,8.487626797026380076e-04
4.400000000000000000e+01,1.941584999999999839e-01,8.886101510617605038e-04
4.450000000000000000e+01,1.936859779999999809e-01,9.407987714989866175e-04
4.500000000000000000e+01,1.950346759999999902e-01,1.000406245935117015e-03
4.550000000000000000e+01,1.980992819999999877e-01,1.060835171350385476e-03
4.600000000000000000e+01,2.025711740000000205e-01,1.114995324235037175e-03
4.650000000000000000e+01,2.079774319999999899e-01,1.156527120760254303e-03
4.700000000000000000e+01,2.137378319999999887e-01,1.180760676290500480e-03
4.750000000000000000e+01,2.192329500000000098e-01,1.185343852774374280e-03
4.800000000000000000e+01,2.238752540000000235e-01,1.170497163172981147e-03
4.850000000000000000e+01,2.271749680000000049e-01,1.138873714388037106e-03
4.900000000000000000e+01,2.287933199999999945e-01,1.095042867617520644e-03
4.950000000000000000e+01,2.285774799999999995e-01,1.044676788370449460e-03
5.000000000000000000e+01,2.265738340000000017e-01,9.936082554840189145e-04
5.050000000000000000e+01,2.230187379999999941e-01,9.470311740877361767e-04
5.100000000000000000e+01,2.183084559999999841e-01,9.091873969353072085e-04
5.150000000000000000e+01,2.129522500000000096e-01,8.835913685918415960e-04
5.200000000000000000e+01,2.075142219999999982e-01,8.735342128754880996e-04
5.250000000000000000e+01,2.025505960000000272e-01,8.821193390499980401e-04
5.300000000000000000e+01,1.985494620000000376e-01,9.113624660825127332e-04
5.350000000000000000e+01,1.958796260000000011e-01,9.607226239118172922e-04
5.400000000000000000e+01,1.947539699999999985e-01,1.026149924733225395e-03
5.450000000000000000e+01,1.952112639999999955e-01,1.100480837718677447e-03
5.500000000000000000e+01,1.971179780000000270e-01,1.174874673054107253e-03
5.550000000000000000e+01,2.001895119999999861e-01,1.240537990189739554e-03
5.600000000000000000e+01,2.040279439999999889e-01,1.290166395305661611e-03
5.650000000000000000e+01,2.081715040000000072e-01,1.318950298436604579e-03
5.700000000000000000e+01,2.121496820000000061e-01,1.325095571403811946e-03
5.750000000000000000e+01,2.155374939999999684e-01,1.309871234055470963e-03
5.800000000000000000e+01,2.180025280000000287e-01,1.277180953653006762e-03
5.850000000000000000e+01,2.193396420000000013e-01,1.232714427730122360e-03
5.900000000000000000e+01,2.194896619999999743e-01,1.182844236725191485e-03
5.950000000000000000e+01,2.185404220000000119e-01,1.133530273091103765e-03
6.000000000000000000e+01,2.167106700000000219e-01,1.089701416572447755e-03
6.050000000000000000e+01,2.143191400000000191e-01,1.055345964397455842e-03
6.100000000000000000e+01,2.117428659999999740e-01,1.034221637564213762e-03
6.150000000000000000e+01,2.093698180000000131e-01,1.030449010128110712e-03
6.200000000000000000e+01,2.075516159999999943e-01,1.048106452258547490e-03
6.250000000000000000e+01,2.065618440000000222e-01,1.089537027602089682e-03
6.300000000000000000e+01,2.065647879999999714e-01,1.153346140251919208e-03
6.350000000000000000e+01,2.075980600000000287e-01,1.233629079277885230e-03
6.400000000000000000e+01,2.095708839999999851e-01,1.321029083959167783e-03
6.450000000000000000e+01,2.122777060000000104e-01,1.404824449796482659e-03
6.500000000000000000e+01,2.154251699999999992e-01,1.475026375611635269e-03
6.550000000000000000e+01,2.186686120000000122e-01,1.523945761345856876e-03
6.600000000000000000e+01,2.216534619999999955e-01,1.547150883544976506e-03
6.650000000000000000e+01,2.240563839999999973e-01,1.543835332004681688e-03
6.700000000000000000e+01,2.256212759999999817e-01,1.516641934846849884e-03
6.750000000000000000e+01,2.261861480000000313e-01,1.471009372201279031e-03
6.800000000000000000e+01,2.256981459999999884e-01,1.414116800524625956e-03
6.850000000000000000e+01,2.242155079999999800e-01,1.353675046044656950e-03
6.900000000000000000e+01,2.218968600000000291e-01,1.296837861573300020e-03
6.950000000000000000e+01,2.189795939999999719e-01,1.249656296589587989e-03
7.000000000000000000e+01,2.157503580000000309e-01,1.217127371996865092e-03
7.050000000000000000e+01,2.125113120000000078e-01,1.203551800515457711e-03
7.100000000000000000e+01,2.095462859999999705e-01,1.212497537501000403e-03
7.150000000000000000e+01,2.070906359999999946e-01,1.245878101973063850e-03
7.200000000000000000e+01,2.053082340000000061e-01,1.302524385363281649e-03
7.250000000000000000e+01,2.042778300000000213e-01,1.377346863026884544e-03
7.300000000000000000e+01,2.039899900000000099e-01,1.461835545983198627e-03
7.350000000000000000e+01,2.043543959999999937e-01,1.545707906697123745e-03
7.400000000000000000e+01,2.052161140000000050e-01,1.618858699144552727e-03
7.450000000000000000e+01,2.063783980000000184e-01,1.673070468857785521e-03
7.500000000000000000e+01,2.076290259999999943e-01,1.703159661043558096e-03
7.550000000000000000e+01,2.087668040000000003e-01,1.707557853879629502e-03
7.600000000000000000e+01,2.096251819999999932e-01,1.688330131566101802e-03
7.650000000000000000e+01,2.100903740000000242e-01,1.650623298131947449e-03
7.700000000000000000e+01,2.101121860000000063e-01,1.601664784746170645e-03
7.750000000000000000e+01,2.097066720000000384e-01,1.549421903444635337e-03
7.800000000000000000e+01,2.089507780000000037e-01,1.501249787022133951e-03
7.850000000000000000e+01,2.079699100000000078e-01,1.462932111941629915e-03
7.900000000000000000e+01,2.069202380000000063e-01,1.438403197227397382e-03
7.950000000000000000e+01,2.059680739999999732e-01,1.430150571630830385e-03
8.000000000000000000e+01,2.052687800000000118e-01,1.439784627508572390e-03
