lag_ps,msd_mean,msd_sem
8.349999999999999645e-01,1.957095568000000174e+00,3.149682921274508246e-02
8.399999999999999689e-01,1.966353936000000191e+00,3.172517385428792747e-02
8.449999999999999734e-01,1.975606429999999802e+00,3.195390209773743551e-02
8.499999999999999778e-01,1.984853134000000185e+00,3.218305050954299584e-02
8.549999999999999822e-01,1.994094197999999762e+00,3.241263401338236733e-02
8.599999999999999867e-01,2.003329702000000268e+00,3.264266420616147857e-02
8.649999999999999911e-01,2.012559800000000010e+00,3.287314481971523317e-02
8.699999999999999956e-01,2.021784540000000074e+00,3.310404927785366713e-02
8.750000000000000000e-01,2.031003998000000088e+00,3.333533699972376224e-02
8.800000000000000044e-01,2.040218241999999904e+00,3.356696218967783474e-02
8.850000000000000089e-01,2.049427325999999994e+00,3.379887358395818053e-02
8.900000000000000133e-01,2.058631270000000235e+00,3.403099370116383082e-02
8.950000000000000178e-01,2.067830062000000080e+00,3.426325889494466481e-02
9.000000000000000222e-01,2.077023762000000051e+00,3.449558861289998835e-02
9.050000000000000266e-01,2.086212367999999540e+00,3.472791697840906661e-02
9.100000000000000311e-01,2.095395857999999834e+00,3.496016840642166695e-02
9.150000000000000355e-01,2.104574180000000183e+00,3.519226281558299196e-02
9.200000000000000400e-01,2.113747346000000249e+00,3.542413401375855975e-02
9.250000000000000444e-01,2.122915351999999700e+00,3.565571703717670266e-02
9.300000000000000488e-01,2.132078182000000321e+00,3.588698322808499264e-02
9.350000000000000533e-01,2.141235847999999997e+00,3.611788054252482172e-02
9.399999999999999467e-01,2.150388423999999965e+00,3.634841105667272615e-02
9.449999999999999512e-01,2.159536004000000453e+00,3.657855018228121230e-02
9.499999999999999556e-01,2.168678660000000313e+00,3.680832520300265920e-02
9.549999999999999600e-01,2.177816448000000182e+00,3.703772661186234549e-02
9.599999999999999645e-01,2.186949455999999792e+00,3.726679821952301463e-02
9.649999999999999689e-01,2.196077798000000136e+00,3.749556380075828865e-02
9.699999999999999734e-01,2.205201553999999842e+00,3.772407222961961237e-02
9.749999999999999778e-01,2.214320771999999771e+00,3.795236051598644550e-02
9.799999999999999822e-01,2.223435543999999986e+00,3.818049370055795477e-02
9.849999999999999867e-01,2.232545948000000280e+00,3.840852671757431086e-02
9.899999999999999911e-01,2.241652015999999747e+00,3.863650951072891693e-02
9.949999999999999956e-01,2.250753708000000408e+00,3.886449008546894596e-02
1.000000000000000000e+00,2.259851030000000094e+00,3.909251906992718129e-02
1.004999999999999893e+00,2.268944037999999885e+00,3.932063471576899977e-02
1.010000000000000009e+00,2.278032752000000105e+00,3.954887311502942870e-02
1.014999999999999902e+00,2.287117171999999865e+00,3.977723771214891624e-02
1.020000000000000018e+00,2.296197310000000158e+00,4.000576017317594713e-02
1.024999999999999911e+00,2.305273221999999400e+00,4.023443424508667959e-02
1.030000000000000027e+00,2.314344898000000317e+00,4.046326458553281546e-02
1.034999999999999920e+00,2.323412337999999799e+00,4.069220382934109898e-02
1.040000000000000036e+00,2.332475515999999693e+00,4.092124156407875302e-02
1.044999999999999929e+00,2.341534473999999921e+00,4.115034022885416531e-02
1.050000000000000044e+00,2.350589158000000012e+00,4.137948146864540988e-02
1.054999999999999938e+00,2.359639542000000034e+00,4.160859261927159908e-02
1.060000000000000053e+00,2.368685606000000110e+00,4.183763175481907542e-02
1.064999999999999947e+00,2.377727376000000170e+00,4.206654274538006860e-02
1.070000000000000062e+00,2.386764816000000344e+00,4.229527656304404859e-02
1.074999999999999956e+00,2.395797892000000040e+00,4.252375817673263031e-02
1.080000000000000071e+00,2.404826583999999823e+00,4.275193121533515245e-02
1.084999999999999964e+00,2.413850943999999998e+00,4.297974105028421615e-02
1.090000000000000080e+00,2.422870979999999896e+00,4.320713659965756681e-02
1.094999999999999973e+00,2.431886704000000066e+00,4.343406033439980996e-02
1.100000000000000089e+00,2.440898136000000385e+00,4.366046507550629813e-02
1.104999999999999982e+00,2.449905320000000053e+00,4.388631335110477344e-02
1.110000000000000098e+00,2.458908268000000064e+00,4.411157693650492179e-02
1.114999999999999991e+00,2.467906979999999972e+00,4.433621441108338834e-02
1.120000000000000107e+00,2.476901458000000389e+00,4.456021757638110870e-02
1.125000000000000000e+00,2.485891772000000000e+00,4.478355840484067596e-02
1.129999999999999893e+00,2.494877955999999841e+00,4.500624615073396673e-02
1.135000000000000009e+00,2.503860030000000236e+00,4.522825371733219663e-02
1.139999999999999902e+00,2.512837986000000079e+00,4.544958593689214787e-02
1.145000000000000018e+00,2.521811876000000119e+00,4.567024305773863951e-02
1.149999999999999911e+00,2.530781657999999990e+00,4.589023684850169343e-02
1.155000000000000027e+00,2.539747327999999804e+00,4.610957035487765754e-02
1.159999999999999920e+00,2.548708799999999997e+00,4.632825090148401381e-02
1.165000000000000036e+00,2.557666109999999993e+00,4.654631565982095959e-02
1.169999999999999929e+00,2.566619218000000036e+00,4.676378045977692965e-02
1.175000000000000044e+00,2.575568102000000081e+00,4.698067886485655237e-02
1.179999999999999938e+00,2.584512688000000225e+00,4.719702561786508904e-02
1.185000000000000053e+00,2.593453008000000004e+00,4.741288058238464498e-02
1.189999999999999947e+00,2.602389054000000534e+00,4.762826245829128446e-02
1.195000000000000062e+00,2.611320785999999838e+00,4.784320494208556263e-02
1.199999999999999956e+00,2.620248172000000153e+00,4.805769453533923624e-02
1.205000000000000071e+00,2.629171227999999694e+00,4.827176041583006172e-02
1.209999999999999964e+00,2.638090022000000090e+00,4.848540616946073190e-02
1.215000000000000080e+00,2.647004598000000097e+00,4.869862738951371423e-02
1.219999999999999973e+00,2.655915025999999735e+00,4.891142437085925498e-02
1.225000000000000089e+00,2.664821426000000049e+00,4.912380375417341877e-02
1.229999999999999982e+00,2.673723948000000128e+00,4.933577419887284765e-02
1.235000000000000098e+00,2.682622698000000305e+00,4.954731817772164287e-02
1.239999999999999991e+00,2.691517805999999791e+00,4.975842385781455157e-02
1.245000000000000107e+00,2.700409433999999997e+00,4.996907391865335057e-02
1.250000000000000000e+00,2.709297765999999719e+00,5.017926520596867335e-02
1.254999999999999893e+00,2.718182934000000106e+00,5.038898268233550637e-02
1.260000000000000009e+00,2.727065070000000091e+00,5.059821796250902476e-02
1.264999999999999902e+00,2.735944307999999658e+00,5.080698181229560684e-02
1.270000000000000018e+00,2.744820784000000291e+00,5.101526832527202709e-02
1.274999999999999911e+00,2.753694563999999900e+00,5.122306522077984398e-02
1.280000000000000027e+00,2.762565704000000455e+00,5.143034373440369400e-02
1.284999999999999920e+00,2.771434245999999657e+00,5.163711559369332793e-02
1.290000000000000036e+00,2.780300231999999649e+00,5.184336197144909925e-02
1.294999999999999929e+00,2.789163690000000084e+00,5.204908723166883772e-02
1.300000000000000044e+00,2.798024594000000143e+00,5.225429342047560599e-02
1.304999999999999938e+00,2.806882945999999546e+00,5.245903422283593881e-02
1.310000000000000053e+00,2.815738735999999687e+00,5.266333664058596431e-02
1.314999999999999947e+00,2.824591949999999851e+00,5.286724645115366966e-02
1.320000000000000062e+00,2.833442537999999900e+00,5.307079513983348901e-02
1.324999999999999956e+00,2.842290497999999666e+00,5.327405540165025544e-02
1.330000000000000071e+00,2.851135823999999985e+00,5.347706968980947551e-02
1.334999999999999964e+00,2.859978509999999918e+00,5.367987921760637715e-02
1.340000000000000080e+00,2.868818522000000204e+00,5.388251081465762066e-02
1.344999999999999973e+00,2.877655887999999607e+00,5.408502555157560648e-02
1.350000000000000089e+00,2.886490635999999999e+00,5.428746256773211293e-02
1.354999999999999982e+00,2.895322858000000110e+00,5.448984157457404526e-02
1.360000000000000098e+00,2.904152606000000247e+00,5.469218525682751492e-02
1.364999999999999991e+00,2.912980017999999838e+00,5.489454815665597426e-02
1.370000000000000107e+00,2.921805228000000199e+00,5.509697754513851603e-02
1.375000000000000000e+00,2.930628420000000123e+00,5.529950049404411261e-02
1.379999999999999893e+00,2.939449752000000249e+00,5.550213748750193465e-02
1.385000000000000009e+00,2.948269444000000128e+00,5.570493097285936918e-02
1.389999999999999902e+00,2.957087717999999921e+00,5.590791137832940710e-02
1.395000000000000018e+00,2.965904813999999945e+00,5.611110147794291791e-02
1.399999999999999911e+00,2.974720924000000100e+00,5.631449892960681963e-02
1.405000000000000027e+00,2.983536257999999997e+00,5.651816364947749582e-02
1.409999999999999920e+00,2.992350951999999786e+00,5.672212824197285508e-02
1.415000000000000036e+00,3.001165155999999890e+00,5.692644069261700718e-02
1.419999999999999929e+00,3.009978956000000316e+00,5.713111136448782018e-02
1.425000000000000044e+00,3.018792472000000338e+00,5.733619850267195756e-02
