lag_ps,msd_seg1_A2,msd_seg2_A2,msd_seg3_A2,msd_seg4_A2,msd_seg5_A2
8.700000000000001066e+00,4.665514585911377132e+00,4.532141689972340792e+00,4.408551461269226479e+00,5.373774880086074290e+00,5.138709613616243566e+00
8.800000000000000711e+00,4.708823588073880906e+00,4.575531955040679222e+00,4.450981492153356811e+00,5.424956721071180432e+00,5.188043036240677530e+00
8.900000000000000355e+00,4.751775465067918702e+00,4.618777253945844485e+00,4.493127783848027690e+00,5.476555360161146524e+00,5.238467779612398623e+00
9.000000000000000000e+00,4.794864187597074334e+00,4.662806946562088939e+00,4.534547902289204124e+00,5.528525858514808711e+00,5.289590629632711760e+00
9.099999999999999645e+00,4.838182095771415447e+00,4.706765016861674589e+00,4.574700355719549805e+00,5.580124168906296589e+00,5.341018313003908169e+00
9.200000000000001066e+00,4.882127495097588366e+00,4.749711384762040467e+00,4.615122171192547640e+00,5.630581382659439527e+00,5.392672885420132012e+00
9.300000000000000711e+00,4.926381360412021237e+00,4.792108308221919799e+00,4.655666794992484370e+00,5.680423410095050585e+00,5.444707677236614529e+00
9.400000000000000355e+00,4.970420575800107876e+00,4.834472069481897449e+00,4.696102085600026399e+00,5.730400088618209153e+00,5.496477152436780145e+00
9.500000000000000000e+00,5.015212834789346985e+00,4.877686084980728864e+00,4.736975468505689513e+00,5.780538518364628509e+00,5.547665294464970032e+00
9.599999999999999645e+00,5.060356632895817164e+00,4.921657804188217966e+00,4.778087643352868064e+00,5.830926092816692830e+00,5.598962687889118328e+00
9.700000000000001066e+00,5.105531392036248839e+00,4.965369041626128244e+00,4.819634200305876526e+00,5.881111903517974859e+00,5.650935197714496816e+00
9.800000000000000711e+00,5.150827956767005666e+00,5.008169776085670932e+00,4.860892567705271006e+00,5.931292068581576871e+00,5.703374915832694292e+00
9.900000000000000355e+00,5.196382457126042631e+00,5.050354108764317118e+00,4.901798291431482824e+00,5.981528458344640420e+00,5.755788071866810185e+00
1.000000000000000000e+01,5.242150215594668872e+00,5.092583683598959965e+00,4.941879481422122744e+00,6.031784783452758703e+00,5.808142178105812015e+00
1.009999999999999964e+01,5.287154602405690795e+00,5.135013750887492456e+00,4.981871090481463149e+00,6.081483569431783032e+00,5.860517009654333975e+00
1.020000000000000107e+01,5.331232207338119977e+00,5.177741775761704801e+00,5.022594298679801561e+00,6.131347400964457073e+00,5.913441554909148579e+00
1.030000000000000071e+01,5.375139610896338738e+00,5.220423930965712778e+00,5.063514247835113835e+00,6.181821195812756464e+00,5.965945780461706427e+00
1.040000000000000036e+01,5.419406560318316579e+00,5.263231018738268929e+00,5.105220821531069930e+00,6.233091378039672392e+00,6.018248194098670290e+00
1.050000000000000000e+01,5.464535093404059296e+00,5.306352997374955471e+00,5.147206425129111196e+00,6.283940717775670315e+00,6.069355209355754788e+00
1.059999999999999964e+01,5.509876234631434500e+00,5.350031730910503214e+00,5.188157488213677837e+00,6.334431253730156364e+00,6.119141898081847941e+00
1.070000000000000107e+01,5.555056147071159245e+00,5.393824517828529785e+00,5.228473321340545432e+00,6.384568787470378481e+00,6.168601392199509981e+00
1.080000000000000071e+01,5.600302821451251134e+00,5.437045152834671491e+00,5.269041265489014414e+00,6.434495790058169185e+00,6.217822941162691741e+00
1.090000000000000036e+01,5.645534003935614109e+00,5.479833398007277978e+00,5.310154678724028798e+00,6.484527640301056550e+00,6.267316555296179814e+00
1.100000000000000000e+01,5.690853235510571650e+00,5.522900026552328256e+00,5.351379841698106432e+00,6.534159158357901731e+00,6.317280394786537023e+00
1.109999999999999964e+01,5.736247579553467979e+00,5.565886766742020875e+00,5.392381226123008631e+00,6.583286000416012307e+00,6.367220858838497755e+00
1.120000000000000107e+01,5.781221316991280723e+00,5.608794780660883994e+00,5.432860610985119187e+00,6.632447080047584542e+00,6.416956308239402773e+00
1.130000000000000071e+01,5.826405836218166101e+00,5.651911190893927461e+00,5.473340532432799499e+00,6.681942775196375806e+00,6.467228750197755005e+00
1.140000000000000036e+01,5.871918219040026976e+00,5.695038028770317062e+00,5.514129801669347408e+00,6.731360181312441071e+00,6.518663865236264066e+00
1.150000000000000000e+01,5.917125186361724687e+00,5.738630821737706889e+00,5.554983224040891621e+00,6.780813932812630895e+00,6.570199180129913330e+00
1.159999999999999964e+01,5.962031667120733402e+00,5.781980713913029035e+00,5.596253913440524919e+00,6.830638826021186105e+00,6.621395389288021960e+00
1.170000000000000107e+01,6.007395824953002617e+00,5.825148891209164681e+00,5.637447064867477486e+00,6.880555013517847485e+00,6.672133479765195219e+00
1.180000000000000071e+01,6.053354657532416638e+00,5.868186671761692175e+00,5.678890619878941948e+00,6.930988405054907098e+00,6.722322558125148895e+00
1.190000000000000036e+01,6.099631689744400731e+00,5.910697313017525545e+00,5.720120578784427146e+00,6.981443741131223568e+00,6.772544238439060393e+00
1.200000000000000000e+01,6.144953485195871146e+00,5.953267234994592982e+00,5.760835249642482836e+00,7.031390323241830664e+00,6.822916260903799213e+00
