lag_ps,msd_Na_seg1_A2,msd_Cl_seg1_A2,msd_Na_seg2_A2,msd_Cl_seg2_A2,msd_Na_seg3_A2,msd_Cl_seg3_A2,msd_Na_seg4_A2,msd_Cl_seg4_A2,msd_Na_seg5_A2,msd_Cl_seg5_A2
6.851999999999999602e+01,1.749954695662781390e+01,2.251918293864256881e+01,1.193188318563366934e+01,2.652277770627315689e+01,1.013939299787530679e+01,2.020485806046614030e+01,1.339859757349495339e+01,2.169972081532989705e+01,1.436792740268329105e+01,2.828765741531272226e+01
6.853000000000000114e+01,1.750037695602012988e+01,2.252190156239446850e+01,1.193247177754365218e+01,2.652874219573036996e+01,1.014164193331711061e+01,2.020913776266374029e+01,1.340048384927262859e+01,2.169967722296965107e+01,1.436958216920643494e+01,2.829144581966073702e+01
6.854000000000000625e+01,1.750118470254601277e+01,2.252461745610024124e+01,1.193302961649794725e+01,2.653455862984025515e+01,1.014387076874048965e+01,2.021350353934384003e+01,1.340240646998338292e+01,2.169964701495295500e+01,1.437117698840880031e+01,2.829523532655631257e+01
6.854999999999999716e+01,1.750199100522672779e+01,2.252736112460122087e+01,1.193356899905072943e+01,2.654022777207140038e+01,1.014607160355698845e+01,2.021793919856078858e+01,1.340436370619501893e+01,2.169962402842678273e+01,1.437268944860351638e+01,2.829901983198081084e+01
6.856000000000000227e+01,1.750281576249777515e+01,2.253015537553869763e+01,1.193411433452496340e+01,2.654575988623617633e+01,1.014822718392460743e+01,2.022243420216027232e+01,1.340635247923650830e+01,2.169960313818414122e+01,1.437410073948437095e+01,2.830279639253707558e+01
6.857000000000000739e+01,1.750368072311685808e+01,2.253301908274851684e+01,1.193469961703044646e+01,2.655116622060986131e+01,1.015031690100672890e+01,2.022698272936412422e+01,1.340837182284359308e+01,2.169958049377923359e+01,1.437540359943151635e+01,2.830656575927194751e+01
6.857999999999999829e+01,1.750460549170843194e+01,2.253596342454390467e+01,1.193536399315936336e+01,2.655645914790567730e+01,1.015231651048925166e+01,2.023157967816304748e+01,1.341042508496500751e+01,2.169954681539445573e+01,1.437660555545978802e+01,2.831033336267622147e+01
6.859000000000000341e+01,1.750560284987052029e+01,2.253899333082834744e+01,1.193613544747918809e+01,2.656165696861806325e+01,1.015419608751589209e+01,2.023622119589798274e+01,1.341252270004627434e+01,2.169948269189719170e+01,1.437772343106666284e+01,2.831410452317745907e+01
6.860000000000000853e+01,1.750667231096847232e+01,2.254210347381013690e+01,1.193702293773632839e+01,2.656678650798906816e+01,1.015592682371385180e+01,2.024090085416004570e+01,1.341467531545321457e+01,2.169937579130205663e+01,1.437877638444208195e+01,2.831788021613652262e+01
6.860999999999999943e+01,1.750779943327670196e+01,2.254527800156586892e+01,1.193801934430087641e+01,2.657187627510716510e+01,1.015749229240912221e+01,2.024561220054322064e+01,1.341688852966379741e+01,2.169922624960124935e+01,1.437978517404088308e+01,2.832166105685855939e+01
6.862000000000000455e+01,1.750895824198578055e+01,2.254849320475152297e+01,1.193910574398590008e+01,2.657694772794149429e+01,1.015889220174051744e+01,2.025035938711182837e+01,1.341915861038869906e+01,2.169903984473862479e+01,1.438076917151341938e+01,2.832544661056373059e+01
6.862999999999999545e+01,1.751011231058875239e+01,2.255172589327672483e+01,1.194026038332973272e+01,2.658201640917057418e+01,1.016014621774570514e+01,2.025515464467548554e+01,1.342146559775104286e+01,2.169882030399423911e+01,1.438174271608732369e+01,2.832923671299011659e+01
6.864000000000000057e+01,1.751122710430216500e+01,2.255495989728514417e+01,1.194146952722616462e+01,2.658709050148441122e+01,1.016129305918455117e+01,2.026001068049719578e+01,1.342377617586034688e+01,2.169857122676025085e+01,1.438271264297957153e+01,2.833303199586876175e+01
6.865000000000000568e+01,1.751228115069870483e+01,2.255819201623199888e+01,1.194273387832928535e+01,2.659217686707091133e+01,1.016238182871852125e+01,2.026493352569870510e+01,1.342605729135781090e+01,2.169829957078191640e+01,1.438367448179969976e+01,2.833682969785240857e+01
6.865999999999999659e+01,1.751325918701886408e+01,2.256143476641147316e+01,1.194406118456056554e+01,2.659727550106860505e+01,1.016346137852904263e+01,2.026992419285283376e+01,1.342828224858031838e+01,2.169801950117032874e+01,1.438460383679358046e+01,2.834062412068741210e+01
6.867000000000000171e+01,1.751414983004895021e+01,2.256470614869081359e+01,1.194544659561321076e+01,2.660237318520352545e+01,1.016457156094336156e+01,2.027497843947488931e+01,1.343042915700540085e+01,2.169774415269436574e+01,1.438546214540419577e+01,2.834440835699062333e+01
6.868000000000000682e+01,1.751495787462447140e+01,2.256801268704750285e+01,1.194687448670788754e+01,2.660744286210503518e+01,1.016573384134427549e+01,2.028008973746582555e+01,1.343248704187639397e+01,2.169748412449770569e+01,1.438621152297909234e+01,2.834817151069485774e+01
6.868999999999999773e+01,1.751571317036020048e+01,2.257134925473139475e+01,1.194832780235797287e+01,2.661246054594506205e+01,1.016695171368355410e+01,2.028524403767299589e+01,1.343445959574815340e+01,2.169724735009826233e+01,1.438682656587011799e+01,2.835190633553160566e+01
6.870000000000000284e+01,1.751646516776651907e+01,2.257471359990111281e+01,1.194979495766453859e+01,2.661740846628718415e+01,1.016820996512890041e+01,2.029042042536473645e+01,1.343635814344150958e+01,2.169703747414253314e+01,1.438730300111777538e+01,2.835560900084429292e+01
6.871000000000000796e+01,1.751726498165886881e+01,2.257811044590162908e+01,1.195126301465088758e+01,2.662227648352155995e+01,1.016948343014665745e+01,2.029559134968570788e+01,1.343819316264156427e+01,2.169684620483056037e+01,1.438765002773269863e+01,2.835929063900216107e+01
6.871999999999999886e+01,1.751814564527857954e+01,2.258154295098809428e+01,1.195271670867276725e+01,2.662706398829637067e+01,1.017074941005079403e+01,2.030072763888604470e+01,1.343997519374157612e+01,2.169666110449516694e+01,1.438788065696677876e+01,2.836297058901137191e+01
6.873000000000000398e+01,1.751911622700636428e+01,2.258501180078525294e+01,1.195414490737552882e+01,2.663177490568075712e+01,1.017199194132888707e+01,2.030580373897689483e+01,1.344172141717002766e+01,2.169647201885810262e+01,1.438801608618176608e+01,2.836666648983877437e+01
6.873999999999999488e+01,1.752016811670127439e+01,2.258851572706842248e+01,1.195554351930519488e+01,2.663641710859767997e+01,1.017319949444986626e+01,2.031080100795985999e+01,1.344345352679132155e+01,2.169627415783365265e+01,1.438809394119198970e+01,2.837038439277412394e+01
