lag_fs,acf_norm_mean,acf_norm_sem
7.800000000000000000e+01,-4.450811400000000140e-02,4.796467267269316492e-03
7.850000000000000000e+01,-4.965296799999999872e-02,3.852649154826325462e-03
7.900000000000000000e+01,-4.723732599999999615e-02,2.966037265710934952e-03
7.950000000000000000e+01,-3.749137400000000786e-02,2.586532159615650452e-03
8.000000000000000000e+01,-2.155664400000000328e-02,2.913550829272762432e-03
8.050000000000000000e+01,-1.315234000000000195e-03,3.531865949651260324e-03
8.100000000000000000e+01,2.086450799999999689e-02,4.019289096113142293e-03
8.150000000000000000e+01,4.243135400000000446e-02,4.181137670160596856e-03
8.200000000000000000e+01,6.096389999999999448e-02,3.974756529785189105e-03
8.250000000000000000e+01,7.445319400000001420e-02,3.478933785898488239e-03
8.300000000000000000e+01,8.152184400000000997e-02,2.921034494145182975e-03
8.350000000000000000e+01,8.155609399999999565e-02,2.707163323260345419e-03
8.400000000000000000e+01,7.473999600000000298e-02,3.124014318963022705e-03
8.450000000000000000e+01,6.199343199999999415e-02,3.934385717871849951e-03
8.500000000000000000e+01,4.482726000000000072e-02,4.755044199631587240e-03
8.550000000000000000e+01,2.513760400000000089e-02,5.339051630612499759e-03
