lag_fs,running_eta_mean,running_eta_sem
1.635000000000000000e+02,3.006860599999999772e-01,6.012099356907702093e-03
1.640000000000000000e+02,3.019108840000000460e-01,6.033362432846712045e-03
1.645000000000000000e+02,3.030121559999999770e-01,6.039100655058335203e-03
1.650000000000000000e+02,3.039832279999999942e-01,6.031143034131590010e-03
1.655000000000000000e+02,3.048302599999999640e-01,6.012490120322026323e-03
1.660000000000000000e+02,3.055703300000000011e-01,5.987128335564555724e-03
1.665000000000000000e+02,3.062283460000000401e-01,5.959798507623055228e-03
1.670000000000000000e+02,3.068332999999999755e-01,5.935586414658625652e-03
1.675000000000000000e+02,3.074142240000000137e-01,5.919412508162951586e-03
1.680000000000000000e+02,3.079964020000000025e-01,5.915419453591943405e-03
1.685000000000000000e+02,3.085981760000000018e-01,5.926420028103475228e-03
1.690000000000000000e+02,3.092287819999999798e-01,5.953484939211984434e-03
1.695000000000000000e+02,3.098873859999999869e-01,5.995817948906215396e-03
1.700000000000000000e+02,3.105633879999999958e-01,6.050936817960829960e-03
1.705000000000000000e+02,3.112380540000000417e-01,6.115090197797241368e-03
1.710000000000000000e+02,3.118871479999999474e-01,6.183819635747318626e-03
1.715000000000000000e+02,3.124843519999999653e-01,6.252519091202678007e-03
1.720000000000000000e+02,3.130049759999999903e-01,6.316916253062564504e-03
1.725000000000000000e+02,3.134295639999999938e-01,6.373388546623057378e-03
1.730000000000000000e+02,3.137468639999999587e-01,6.419197056157100421e-03
1.735000000000000000e+02,3.139558560000000331e-01,6.452595237312346195e-03
1.740000000000000000e+02,3.140665279999999560e-01,6.472922579989964786e-03
1.745000000000000000e+02,3.140993479999999449e-01,6.480661838114530442e-03
1.750000000000000000e+02,3.140834900000000207e-01,6.477489293626815040e-03
1.755000000000000000e+02,3.140540539999999714e-01,6.466241863113066438e-03
1.760000000000000000e+02,3.140486260000000529e-01,6.450771077798847335e-03
1.765000000000000000e+02,3.141035620000000028e-01,6.435614916194415565e-03
1.770000000000000000e+02,3.142504859999999955e-01,6.425490453790750484e-03
1.775000000000000000e+02,3.145132700000000114e-01,6.424655515067714644e-03
1.780000000000000000e+02,3.149059040000000143e-01,6.436260186377332042e-03
1.785000000000000000e+02,3.154314599999999968e-01,6.461847433369187488e-03
1.790000000000000000e+02,3.160821400000000114e-01,6.501110436315471648e-03
1.795000000000000000e+02,3.168405420000000028e-01,6.551988059931428653e-03
1.800000000000000000e+02,3.176818659999999794e-01,6.611050319985169697e-03
1.805000000000000000e+02,3.185768340000000309e-01,6.674043657519481733e-03
1.810000000000000000e+02,3.194949980000000300e-01,6.736482465368259787e-03
1.815000000000000000e+02,3.204080059999999675e-01,6.794141240830660171e-03
1.820000000000000000e+02,3.212924759999999935e-01,6.843431239273610120e-03
1.825000000000000000e+02,3.221320780000000439e-01,6.881628917492861076e-03
1.830000000000000000e+02,3.229186659999999653e-01,6.907007514909472429e-03
1.835000000000000000e+02,3.236522880000000102e-01,6.918920328842070172e-03
1.840000000000000000e+02,3.243401760000000356e-01,6.917840920345447175e-03
1.845000000000000000e+02,3.249948679999999923e-01,6.905381087332829702e-03
1.850000000000000000e+02,3.256317259999999547e-01,6.884256649976524048e-03
1.855000000000000000e+02,3.262662399999999852e-01,6.858127586044902163e-03
1.860000000000000000e+02,3.269114200000000081e-01,6.831309469147185329e-03
1.865000000000000000e+02,3.275755959999999689e-01,6.808330975973186407e-03
1.870000000000000000e+02,3.282609040000000200e-01,6.793386977193774899e-03
1.875000000000000000e+02,3.289626360000000305e-01,6.789784259963341749e-03
1.880000000000000000e+02,3.296694779999999603e-01,6.799482141880666859e-03
1.885000000000000000e+02,3.303646399999999872e-01,6.822855991430574855e-03
1.890000000000000000e+02,3.310277240000000232e-01,6.858697485148035865e-03
1.895000000000000000e+02,3.316370980000000190e-01,6.904474068290359333e-03
1.900000000000000000e+02,3.321724980000000382e-01,6.956728079139210506e-03
1.905000000000000000e+02,3.326175480000000406e-01,7.011544946376940118e-03
1.910000000000000000e+02,3.329618480000000047e-01,7.064995772677717077e-03
1.915000000000000000e+02,3.332024460000000410e-01,7.113502358320119082e-03
1.920000000000000000e+02,3.333444399999999641e-01,7.154118696209195438e-03
1.925000000000000000e+02,3.334007060000000466e-01,7.184752409661445370e-03
