lag_ps,msd_mean,msd_sem
1.725000000000000089e+00,2.889003551999999697e+00,3.664882249722777319e-01
1.729999999999999982e+00,2.895954601999999767e+00,3.675734213760440405e-01
1.735000000000000098e+00,2.902910777999999858e+00,3.686585063711916854e-01
1.739999999999999991e+00,2.909872545999999893e+00,3.697434932623380188e-01
1.745000000000000107e+00,2.916839712000000251e+00,3.708284310422909069e-01
1.750000000000000000e+00,2.923812576000000441e+00,3.719133144047840345e-01
1.754999999999999893e+00,2.930791185999999549e+00,3.729981728915108818e-01
1.760000000000000009e+00,2.937775680000000111e+00,3.740830308473498955e-01
1.764999999999999902e+00,2.944765634000000354e+00,3.751679792881295605e-01
1.770000000000000018e+00,2.951760863999999707e+00,3.762530980890580468e-01
1.774999999999999911e+00,2.958761152000000116e+00,3.773384444986230823e-01
1.780000000000000027e+00,2.965766357999999769e+00,3.784240743179368427e-01
1.784999999999999920e+00,2.972775959999999884e+00,3.795100779056279072e-01
1.790000000000000036e+00,2.979789552000000175e+00,3.805964838610976231e-01
1.794999999999999929e+00,2.986806698000000093e+00,3.816832457328217520e-01
1.800000000000000044e+00,2.993827013999999842e+00,3.827703491979859152e-01
1.804999999999999938e+00,3.000849756000000035e+00,3.838579048380003078e-01
1.810000000000000053e+00,3.007874438000000428e+00,3.849460032719348446e-01
1.814999999999999947e+00,3.014900346000000120e+00,3.860347161012596673e-01
1.820000000000000062e+00,3.021927161999999889e+00,3.871241167055782806e-01
1.824999999999999956e+00,3.028954087999999878e+00,3.882144223612074563e-01
1.830000000000000071e+00,3.035980890000000265e+00,3.893057338301660897e-01
1.834999999999999964e+00,3.043006967999999812e+00,3.903980953954331312e-01
1.840000000000000080e+00,3.050032384000000096e+00,3.914914298693638606e-01
1.844999999999999973e+00,3.057056712000000509e+00,3.925858227738133754e-01
1.850000000000000089e+00,3.064080008000000355e+00,3.936811941215754840e-01
1.854999999999999982e+00,3.071102129999999875e+00,3.947774789058660083e-01
1.860000000000000098e+00,3.078123312000000222e+00,3.958744762618599533e-01
1.864999999999999991e+00,3.085143610000000258e+00,3.969721497101421082e-01
1.870000000000000107e+00,3.092163374000000076e+00,3.980704478800203283e-01
1.875000000000000000e+00,3.099182917999999898e+00,3.991692142659725717e-01
1.879999999999999893e+00,3.106202704000000203e+00,4.002682295282586344e-01
